WEC: ava. Rotation,WEC: max. Rotation,WEC: min. Rotation,WEC: ava. Power,WEC: max. Power,WEC: min. Power,WEC: ava. Nacel position including cable twisting,WEC: ava. reactive Power,WEC: max. reactive Power,WEC: min. reactive Power,WEC: ava. blade angle A,Sys 1 inverter 1 cabinet temp.,Sys 1 inverter 2 cabinet temp.,Sys 1 inverter 3 cabinet temp.,Sys 1 inverter 4 cabinet temp.,Sys 1 inverter 5 cabinet temp.,Sys 1 inverter 6 cabinet temp.,Sys 1 inverter 7 cabinet temp.,Sys 2 inverter 1 cabinet temp.,Sys 2 inverter 2 cabinet temp.,Sys 2 inverter 3 cabinet temp.,Sys 2 inverter 4 cabinet temp.,Sys 2 inverter 5 cabinet temp.,Sys 2 inverter 6 cabinet temp.,Sys 2 inverter 7 cabinet temp.,Spinner temp.,Front bearing temp.,Rear bearing temp.,Pitch cabinet blade A temp.,Pitch cabinet blade B temp.,Pitch cabinet blade C temp.,Blade A temp.,Blade B temp.,Blade C temp.,Rotor temp. 1,Rotor temp. 2,Stator temp. 1,Stator temp. 2,Nacelle ambient temp. 1,Nacelle ambient temp. 2,Nacelle temp.,Nacelle cabinet temp.,Main carrier temp.,Rectifier cabinet temp.,Yaw inverter cabinet temp.,Fan inverter cabinet temp.,Ambient temp.,Tower temp.,Control cabinet temp.,Transformer temp.,RTU: ava. Setpoint 1,Inverter averages,Inverter std dev
7.889999866,8.260000229,7.400000095,336,431,248,-264,48,57,46,1.0,25,25,24,24,25,29,30,31,31,31,30,-14,0,-50,18,22,29,34,35,33,166,165,166,50,50,57,57,12,12,17,20,15,34,23,28,13,21,32,40,3050,27.72727203,3.068905354
7.670000076,8.25,7.139999866,299,411,207,-121,48,50,47,1.0,21,24,23,23,24,23,26,29,28,29,27,-14,0,-50,16,21,29,32,33,31,166,165,166,47,47,59,58,8,8,15,18,14,32,22,28,9,21,30,38,3050,25.18181801,2.750206709
9.449999809,11.10000038,8.25,686,1258,407,-85,65,90,46,1.0,23,25,23,25,25,23,23,24,23,22,23,-14,0,-50,14,18,25,29,29,28,166,166,167,45,44,67,66,11,11,13,16,14,27,21,25,12,21,29,39,3050,23.54545403,1.035725474
13.78999996,14.63000011,13.17000008,2775,3123,2219,-191,256,278,216,1.0,32,34,32,33,34,31,31,31,31,28,28,-14,0,-50,17,21,28,35,34,33,166,165,166,107,106,97,96,12,12,14,18,16,27,25,27,12,29,39,65,3050,31.36363602,2.013590097
14.17000008,15.02000046,13.47000027,3042,3140,2477,226,280,290,237,4.960000038,34,34,35,32,35,30,33,32,33,30,30,-14,0,-50,18,24,31,37,36,36,165,166,166,120,119,105,104,13,13,16,19,19,30,26,28,14,33,43,69,3050,32.54545593,1.916436076
8.069999695,9.020000458,7.050000191,236,389,57,-7,42,46,35,1.0,19,21,20,20,21,21,22,26,25,26,24,-14,0,-50,16,21,28,32,32,31,166,165,166,50,50,58,58,13,13,17,18,12,36,23,28,14,18,25,32,3050,22.27272797,2.533412933
7.309999943,9.460000038,0.670000017,202,661,0,-359,52,929,0,3.269999981,18,26,25,18,26,24,24,27,26,19,22,-14,0,-50,11,13,17,29,29,27,166,166,167,26,26,29,29,9,9,10,13,10,23,18,22,10,11,17,34,3050,23.18181801,3.400534391
7.559999943,7.880000114,7.099999905,278,335,197,-100,41,41,39,1.0,24,25,24,24,25,28,28,30,29,30,28,-14,0,-50,17,21,28,33,33,32,166,165,166,46,46,57,57,11,11,16,20,15,34,23,29,12,22,31,39,3050,26.81818199,2.442055702
9.100000381,10.53999996,7.650000095,411,1016,205,-128,48,57,36,1.0,30,31,30,30,31,30,30,31,31,30,34,-14,0,-50,27,30,35,43,43,42,165,165,165,55,55,60,60,19,19,24,27,22,40,30,36,22,29,36,43,3050,30.72727203,1.190874338
14.68999958,15.03999996,14.18000031,2426,2618,2209,-84,199,219,186,10.09000015,26,26,27,25,27,23,25,25,26,22,22,-14,0,-50,12,20,27,31,30,30,166,165,166,78,77,111,110,5,5,9,13,14,24,20,22,6,28,35,56,3050,24.90909004,1.814086199
